cell_id	state	mean	sd	lower	upper
Cell000018	IFN-stress	0.170504751315537	0.00120411435375732	0.169695885761914	0.171313616869159
Cell000019	IFN-stress	0.143114047618116	0.0217982245981399	0.115591533280013	0.170184563571704
Cell000020	IFN-stress	0.095685889686236	0.0406136684212318	0.0684035993541968	0.122968180018275
Cell000021	IFN-stress	0.177835783360346	0.0508033855911507	0.100108247124752	0.212496974082666
Cell000022	IFN-stress	0.115566965108132	0.0234639860096197	0.0943565577676296	0.150523784392611
Cell000023	IFN-stress	0.121720751294958	0.0149659845839085	0.113181154762904	0.145225025321798
Cell000024	IFN-stress	0.0408352467624825	0.0219395817516944	0.0198715028855424	0.0748271315172647
Cell000025	IFN-stress	0.0682944586134057	0.0399039550602743	0.024203470006561	0.116607818811498
Cell000026	IFN-stress	0.106367650112748	0.031874047684697	0.0828468835381157	0.159690412785986
Cell000027	IFN-stress	0.295511096422962	0.033451252541773	0.261414766356349	0.339346689403038
Cell000028	IFN-stress	0.111987887288989	0.0413503715756717	0.0647823633103737	0.177172238176948
Cell000029	IFN-stress	0.229771703658446	0.0677063415034825	0.159679360255162	0.300428580531962
Cell000030	IFN-stress	0.275404866370427	0.0572515765443637	0.212255204830775	0.329929541080176
Cell000031	IFN-stress	0.108865204686194	0.0308965036251869	0.0781725125205301	0.156110956386132
Cell000032	IFN-stress	0.0339961125718421	0.017491491853476	0.0177511874974902	0.0576743575030151
Cell000033	IFN-stress	0.00781147663262065	0.00123425574805411	0.00614923804229972	0.00907784200007361
Cell000034	IFN-stress	0.0691731267916008	0.0105527724455476	0.0590666317100863	0.0848460295257201
Cell000035	IFN-stress	0.090904504209892	0.0656523655359602	0.0261432025523657	0.150477735417865
Cell000036	IFN-stress	0.122091171632258	0.0650806073325977	0.039633617826246	0.175716925053756
Cell000037	IFN-stress	0.145875782923842	0.0248707377350781	0.120185019050108	0.174553890898565
Cell000038	IFN-stress	0.272709857335247	0.0672392455060549	0.187572939138167	0.334722051753338
Cell000039	IFN-stress	0.313480201849325	0.0569411410070975	0.223618210970129	0.371354538593645
Cell000040	IFN-stress	0.097898302476748	0.0277447519203101	0.0682362974160747	0.114639987135551
